                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0574,                 6.7789,                 1.9349,                0.03764,                0.08333,                0.01451,                  0.006,                 1.3408,                 45.641,                 1.2812,              0.0005546,              0.0005546,              0.0005546
                      1,                 2.3701,                 3.7688,                 2.2089,                0.10283,                0.12366,                0.04554,                0.02042,                 1.3404,                 10.427,                 1.2834,              0.0010004,              0.0010004,              0.0010004
                      2,                  2.394,                 3.2122,                 2.2969,                0.13715,                0.15591,                0.04644,                0.01944,                 1.3719,                  24.48,                 1.2811,              0.0013361,              0.0013361,              0.0013361
                      3,                 2.2698,                 2.9795,                 2.1892,                0.15483,                0.19355,                0.06266,                0.03058,                 1.2564,                 17.423,                 1.1366,              0.0011719,              0.0011719,              0.0011719
                      4,                 2.2079,                 2.8352,                 2.1304,                0.16993,                0.19892,                0.07745,                0.03816,                 1.2215,                 3.6423,                 1.1175,              0.0011719,              0.0011719,              0.0011719
                      5,                  2.083,                 2.7806,                 2.0016,                0.18282,                   0.25,                0.09713,                0.05109,                 1.1512,                 3.8993,                 1.0537,              0.0010069,              0.0010069,              0.0010069
                      6,                 2.0024,                 2.4914,                  1.922,                0.18845,                0.26093,                0.10543,                0.05903,                 1.0974,                 4.1077,                 1.0117,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.9299,                 2.3943,                 1.8748,                0.18792,                0.32472,                0.12489,                0.07098,                 1.0982,                 5.0259,                0.98821,              0.0006768,              0.0006768,              0.0006768
                      8,                   1.83,                 2.2809,                  1.779,                0.19594,                0.31989,                0.13247,                 0.0763,                 1.0788,                 4.9006,                0.98434,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.7902,                 2.2418,                  1.744,                0.20174,                0.41398,                 0.1459,                0.08305,                 1.0438,                 4.6215,                0.94903,             0.00034674,             0.00034674,             0.00034674
