                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0059,                  2.224,                 1.0782,                0.79308,                0.36299,                0.41024,                0.28546,                 0.9963,                 1.6415,                 1.0678,             0.00047427,             0.00047427,             0.00047427
                      1,                  1.109,                 1.7739,                 1.1494,                0.72697,                0.37247,                0.38943,                0.26553,                 1.0895,                 1.6248,                 1.1537,             0.00085649,             0.00085649,             0.00085649
                      2,                 1.0924,                 1.5503,                  1.158,                0.70759,                0.35564,                0.34665,                0.22941,                 1.1165,                 1.6796,                 1.1831,              0.0011444,              0.0011444,              0.0011444
                      3,                 1.0802,                 1.4062,                 1.1471,                0.73666,                0.41737,                0.43696,                0.31643,                0.99515,                 1.3561,                 1.1113,              0.0010046,              0.0010046,              0.0010046
                      4,                 1.0248,                 1.3097,                 1.1174,                0.78774,                0.41989,                0.46332,                0.34038,                0.96012,                 1.2866,                 1.0977,              0.0010046,              0.0010046,              0.0010046
                      5,                0.96482,                 1.1976,                  1.089,                0.46305,                0.42114,                0.45926,                0.34607,                 0.9159,                 1.2243,                 1.0701,             0.00086312,             0.00086312,             0.00086312
                      6,                0.91414,                 1.1257,                 1.0638,                0.82237,                0.45001,                0.50282,                0.38789,                0.83702,                 1.0507,                 1.0314,             0.00072164,             0.00072164,             0.00072164
                      7,                0.85089,                 1.0359,                 1.0372,                0.83849,                0.43993,                0.50533,                0.39752,                0.80849,                 1.0135,                  1.015,             0.00058017,             0.00058017,             0.00058017
                      8,                0.81294,                  0.978,                 1.0094,                0.51189,                0.44986,                0.51566,                0.41596,                0.74984,                0.95739,                0.98405,              0.0004387,              0.0004387,              0.0004387
                      9,                0.77339,                0.91828,                0.99627,                0.84921,                0.47137,                0.52934,                0.43788,                0.69529,                0.89785,                 0.9641,             0.00029723,             0.00029723,             0.00029723
